Name;Calories;Protein;Carbohydrate;Fat
Tutu ;123,7645;5,4142;22,3386;1,6446
Moqueca capixaba ;100,524;14,335;1,751;3,664
Maniçoba ;181,849;15,087;2,924;12,163
Caldo verde ;94,918;3,529;14,186;2,895
Arroz de cuxá;102,736062;2,380278864;20,92240443;0,9480294
Angu à baiana;125,337;9,01;8,865;5,752
Chocolate;535;7,65;59,4;29,66
Gemada ;134,794;3,804;13,519;7,469
Açaí com granola;110;0,7;21,5;3,7
Suco orgânico ;41,826;0,588;9,809;0,139
Suco de abacaxi orgânico ;53,206;0,361;12,92;0,12
Suco de acerola orgânico ;23,056;0,401;4,812;0,301
Suco de goiaba orgânico ;62,284;0,371;15,619;0,138
Suco de laranja orgânico ;41,826;0,588;9,809;0,139
Suco de laranja cenoura e beterraba orgânico ;30,772;0,811;7,108;0,117
Suco de manga orgânico ;50,862;0,11;13,084;0,06
Suco de maracujá orgânico ;60,137;0,672;14,483;0,18
Suco de morango orgânico ;59,209;0,569;14,509;0,095
Suco de pêssego orgânico ;53,993;0,27;13,918;0,02
Suco de pêssego em calda orgânico ;53,993;0,27;13,918;0,02
Pizza pronta light ;255,571;14,597;29,819;8,45
Lasanha pronta light ;144,333;10,925;12,336;5,67
Macarrão pronto light , Cozido(a) [2];189,862;5,645;25,537;7,177
Pizza portuguesa light;229,617;11,753;22,402;10,207
Farofa pronta light em pacote;406;2,1;80,3;9,1
Vaca atolada;245;11,6;15,05;15,045
Salada ou verdura crua, exceto de fruta;18;0,88;3,92;0,2
Outros legumes cozidos;60,5;1,235;14,115;0,14
Café da manha;31,441;1,721;2,566;1,686
Prato de comida brasileira;148,3741336;6,740453706;21,3407939;3,860556747
Prato de comida do nordeste;129,2080148;6,486000405;19,48347163;2,656416754
Prato de comida do norte;157,0970711;6,534916295;24,98652428;3,360837643
Prato de comida do sudeste;131,0943052;8,620414975;12,00438466;5,301131171
Prato de comida do sul;148,3741336;6,740453706;21,3407939;3,860556747
Prato de comida do centro-oeste;105,9299424;5,681362724;14,26608033;2,911793565
Arroz com feijão;116,5139729;4,167056332;21,41943174;1,497021
Pão com manteiga;369,5;6,808333333;48,84333333;16,10166667
Pão com margarina;369,8333333;6,816666667;48,98333333;16
Pão com ovo;261,2955;10,837;29,9085;10,377
Carne com batata, inhame, batata-baroa ou aipim ;188,198;12,965;10,005;10,497
Carne com legumes (exceto batata, inhame e aipim);150,523;12,47;2,45;9,953
Frango com batata, inhame batata-baroa ou aipim;153,698;16,31;10,005;5,042
Frango com legumes (exceto batata, inhame e aipim);116,023;15,815;2,45;4,498
Abobora com quiabo;21;1,295;4,705;0,14
Arroz carreteiro;154;10,8;11,6;7,1
Maria izabel;154;10,8;11,6;7,1
Arroz de leite;142,422;2,98;22,622;4,174
Arroz com mandioca;130,3114729;1,548056332;28,94243174;0,750021
Arroz com ovo;179,1069729;8,085056332;14,50093174;9,427021
Palma ;41,945;1,35;3,28;3,098
